OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Ptpra	Ppp2r1a
Pcna	Rev1
Trappc5	Trappc3
Trappc2	Trappc3
Trappc2	Trappc5
Trappc3	Trappc1
Trappc4	Trappc1
Msl1	Ttc4
Msl1	Pih1d1
Msl1	Kat8
Kat8	Nelfcd
Rassf1	Rnf10
Pknox1	Pbx2
Pknox1	Actb
Pknox1	Mybbp1a
Pknox1	Myh9
Pknox1	Pbx1
Pknox1	Rps3a1
Zeb1	Ctbp1
Zeb1	Ctbp2
Anapc2	Invs
Tceb1	Socs1
Ptprf	Ctnnb1
Grb2	Cbl
Pik3r1	Cbl
Acp1	Ctnnb1
Apc	Mapre2
Apc	Muc1
Grb2	Pik3r1
Bcl2	Ptk2
Dnajb3	Usp8
Clock	Per1
Clock	Per2
Clock	Per3
Clock	Cry1
Clock	Cry2
Arntl	Clock
Arntl	Per1
Arntl	Per2
Arntl	Per3
Arntl	Cry1
Arntl	Cry2
Per1	Per2
Per1	Per3
Per1	Cry1
Per1	Cry2
Per2	Per3
Per2	Cry1
Per2	Cry2
Cry1	Per3
Cry1	Cry2
Cry2	Per3
Prpf40a	Wasf2
Prpf40a	Wasf3
Prpf40a	Wasl
Prpf40a	Wasf1
Sufu	Hist1h2ai
Sufu	Ncoa3
Sufu	Setdb1
Sufu	Zfp219
Sufu	Lgals3
Sufu	Sap18
Sufu	Pias1
Sufu	Rnf19a
Sufu	Rbpj
Sufu	Prdx5
Ncoa3	Rnf19a
Ncoa3	Setdb1
Ncoa3	Zfp219
Ncoa3	Lgals3
Ncoa3	Sap18
Ncoa3	Prdx5
Ncoa3	Pias1
Rnf19a	Pias1
Zfp219	Hist1h2ai
Pias1	Setdb1
Pias1	Zfp219
Pias1	Lgals3
Pias1	Sap18
Sap18	Hist1h2ai
Mc4r	Atrnl1
Tyrobp	Cd200r1
Grik4	Grik2
Grik4	Grik3
Hcn2	Hcn1
Gmcl1	Tsg101
Fgd1	Cttn
Fgd1	Aoc1
Naa10	Naa15
Scyl1	Gorab
Mllt3	Bcor
Ror1	Maged1
Ror2	Maged1
Hsph1	Tuba1a
Baz2a	Smarca5
Hdac1	Rb1
Hdac1	Myod1
Hdac1	Rela
Hdac1	Nfkb1
Jun	Smarca2
Jun	Smarcb1
Fos	Smarca2
Fos	Smarcb1
Smarcd1	Smarca2
Tle1	Foxg1
Smarce1	Esr1
Rb1	Smarca4
Smarca4	Arid1b
Arid1b	Smarcd1
Smarca5	Baz1b
Smarca5	Baz1a
Baz1a	Smarca1
Ikzf3	Chd3
Ikzf1	Chd3
Myod1	Kat2b
Rxra	Nsd1
Ikzf1	Smarca4
Ikzf1	Smarca2
Ikzf1	Ikzf3
Ikzf1	Hdac2
Ikzf1	Smarcc1
Ikzf1	Hdac1
Kat2b	Notch1
Kat2a	Notch1
Fancd2	Dclre1a
Bloc1s4	Bloc1s6
Bloc1s4	Bloc1s5
Supt5	Ppp2r2d
Scmh1	Phc1
Mras	Mllt4
Hes6	Hes1
Stk11	Stk11ip
Cd14	Tlr4
Lrp8	Dab1
Ldlr	Dab1
Vldlr	Dab1
Vcl	Raver1
Raver1	Actn4
Raver1	Actn2
Raver1	Ptbp3
Rpgrip1	Rpgr
Grap2	Kit
Ubqln2	Itgb3
Ubqln2	Cd47
Pgm5	Dmd
Pgm5	Utrn
Cbl	Lck
Sall1	Hdac2
Sall1	Hdac1
Tead2	Yap1
Tead3	Yap1
Tead4	Yap1
Tead1	Yap1
Tead2	Mpdz
Hdac6	Plaa
Mlf1	Nrbp1
Mlf1	Ywhaz
Abcd1	Abcd3
Abcd2	Abcd1
Blnk	Map4k1
Lcp2	Map4k1
Klrk1	H60a
Tsc1	Rdx
Tsc1	Ezr
Ctnnb1	Arhgap32
Arhgap32	Dlg4
Arhgap32	Cdh2
Arhgap32	Grin2b
Arhgap32	Cdc42
Arhgap32	Rac1
Camk2a	Arhgap32
Nr1i3	Nr0b2
Fabp1	Ppara
Hspa5	Dnajc1
Gli3	Twist1
Inadl	Grin2a
Inadl	Kcnj10
Inadl	Kcnj15
Inadl	Grin2b
Inadl	Grin2c
Inadl	Grin2d
Dlg4	Grin2a
Dlg4	Grin2b
Dlg4	Grin2c
Dlg4	Grin2d
Dlg4	Grin1
Gab1	Met
Atf4	Dapk3
Tsnax	Tsn
Tsnax	Golga3
Tsnax	Tsnaxip1
Tsnax	Sun1
Tsnax	Akap9
Hspa1b	Hsp90ab1
Wdr12	Notch1
Six3	Aes
Aes	Six6
Tle4	Six3
Tle4	Six6
Mef2a	Smad2
Plxna1	Nrp1
Plxna1	Nrp2
Npr1	Plxna1
Npr1	Sema3a
Slpi	Grn
Tek	Grb2
Tek	Grb7
Tek	Grb14
Tek	Pik3r1
Tek	Ptpn11
Id3	Myod1
Id3	Id4
Id3	Tcf12
Fus	Srsf10
Fus	Srsf2
S100a4	Metap2
E2f1	Sp1
Amy1	Akap8
Sgcb	Sgca
Sgcb	Sgcg
Sgcb	Sgcd
Dag1	Sgcd
Bcl2l1	Bcl2l11
Jak2	Kit
Dffa	Dffb
Traf2	Rb1cc1
Raf1	Hras
Pik3r1	Irs1
Tsc1	Msn
Foxo1	Tsc2
Tsc1	Tsc2
Zfp36	Ywhab
Pml	Mtor
Eif4e	Eif4g3
Pik3r1	Irs2
Cldn1	Mpdz
Mpdz	F11r
Pcna	Polb
Gmcl1	Tmpo
Ube2i	Fas
App	Kif1a
Ctla4	Ap2m1
Fzd8	Gopc
Fzd5	Gopc
Map2k7	Mapk8ip3
Mapk8ip2	Mapk8ip3
Snca	Tuba3a
Fos	Jun
Jun	Hhex
Jun	Hoxc8
Jun	Hoxa9
Jun	En1
Hhex	Fos
Ifrd1	Sin3b
Ifrd1	Hdac1
Ifrd1	Sap30
Card10	Bcl10
Card10	Malt1
Hira	Hirip3
Hira	Pax3
Hira	Pax7
Hira	H3f3b
Sh2d1b1	Cd244
Ccnd1	Mybl2
Cd19	Pik3r1
Socs1	Trim8
Efs	Ptk2
Ube2l3	Rbck1
Ube2l3	Arih2
Ube2l3	Rnf216
Ube2l3	Arih1
Ube2l3	Rnf19a
Ube2l3	Rnf144a
Ube2l3	Ubox5
Cd38	Lck
Prkce	Src
Nde1	Pafah1b1
Crhr2	Ucn3
Crhr2	Ucn2
Ush1c	Cdh23
Sytl5	Rab27a
Rrad	Tpm2
Shc1	Inpp5d
Pawr	Wt1
Ap2b1	Eps15
Erbb2ip	Pkp4
Stat5b	Stat5a
Stat5a	Cenpj
Cd81	Igsf8
Ncoa3	Ptpn6
Numb	Eps15
Agfg1	Eps15
Lrrc41	Rbx1
Ndn	E2f1
Zp2	Acr
Cct5	Tcp1
Cct3	Cct2
Cct7	Tcp1
Cct7	Cct4
Cct6a	Cct2
Cct6a	Cct5
Tal1	Sin3a
Tal1	Hdac1
Sin3a	Hdac1
Thbs2	Thbs1
E2f1	Pura
Hras	Rin1
Rin1	Ywhae
Hras	Ralgds
Ywhab	Rin1
Ywhaz	Rin1
Abl1	Rin1
Abl1	Pxn
Ctnnbip1	Ctnnb1
Tgfb1i1	Git1
Pxn	Git1
Pxn	Arhgef7
Smad1	Smurf1
Zfp128	Smad1
Smad2	Zfp128
Igbp1	Ppp2ca
Igbp1	Mid1
Stx7	Stx6
Stx7	Stx4a
Stx7	Vamp8
Stx7	Vamp7
Stx7	Vamp3
Stx7	Gtf2i
Prkci	Frs2
Pak3	Arhgef7
Eda2r	Traf6
Tnfrsf19	Traf6
Traf6	Tifa
Reps2	Asap1
Traf6	Ecsit
Irak1	Ecsit
Map3k1	Ecsit
Cftr	Slc4a7
Cftr	Slc9a3r1
Timeless	Per1
Timeless	Per2
Map3k5	Daxx
Arl3	Pde6d
Sufu	Sin3a
Shh	Sufu
Shh	Sin3a
Xiap	Map3k2
Cdkn1a	Cdk4
Cdkn1a	Cdk2
Cdkn1a	Ccnd1
Cd151	Rnf128
Eme1	Uhrf1
Eme1	Mus81
Uhrf1	Mus81
Nefl	Trim2
Stat1	Ubc
Npm1	Fbxw7
Tnf	Ripk1
Tnf	Tnfrsf1a
Ntrk1	Trim30a
Ntrk1	Sqstm1
Sqstm1	Trim30a
Mdm2	Rassf1
Mdm2	Trp53
Daxx	Rassf1
Daxx	Mdm2
Daxx	Trp53
Tlr4	Irak1
Tnfrsf1a	Irak1
Il1rap	Irak1
Traf6	Cyld
Cyld	Sqstm1
Syvn1	Ern2
Gsk3b	E2f1
Nfe2l2	Keap1
Nfe2l2	Jund
Nfe2l2	Fos
Nfe2l2	Mafk
Nfe2l2	Nrf1
Il6st	Hgs
Dapk3	Ube2d3
Dapk3	Ube2d1
Dapk3	Ube2d2a
Stub1	Akt1
Ncor1	Dzip3
Dzip3	Hdac3
Dzip3	Hdac1
Pkd2	Vcp
Pkd2	Psmd7
Pkd2	Herpud1
Smad3	Gsk3b
Ubb	Polk
Ubc	Polk
Pcna	Polk
Cyld	Ripk1
Ripk1	Ikbkg
Spry2	Tesk1
Ubc	Scnn1g
Ubc	Scnn1b
Ddb1	Trp53
Flt1	Ldlr
Plcg1	Flt1
Cbl	Flt1
Mapt	Hspa8
Mapt	Bag1
Gpi1	Parp14
Mcl1	Pin1
Hspa2	Nasp
Cdk1	Nasp
Cdk1	Hspa2
Cdk1	Ccnb1
Smarca4	Nr1h4
Smarca2	Nr0b2
Hnf4a	Tcf7l2
Ctnnb1	Tcf7l2
E2f2	Rb1
E2f2	Gata1
Grb2	Met
Mecp2	Atrx
Egr1	G3bp1
Trp53	Ube2n
Rnf220	Sin3b
Atrx	Smc1a
Atrx	Smc3
Smc1a	Mecp2
Smc3	Mecp2
Ctcf	Atrx
Ezh2	Suz12
Ezh2	Rbbp4
Ezh2	Mtf2
Ezh2	Jarid2
Ezh2	Aebp2
Ezh2	Phf1
Eed	Jarid2
Eed	Suz12
Eed	Ezh2
Eed	Aebp2
Jarid2	Suz12
Jarid2	Aebp2
Kdm5a	Suz12
Ash2l	Tfap2d
Ncoa1	Ep300
Rara	Ncoa1
Itsn1	Cbl
Jun	Itch
Egfr	Eps15
Hdac1	Xpo1
Hdac1	Kif2a
Dnm1	Kif2a
Dnm1	Kif5a
Dnm1	Tuba1a
Irak1	Bcl10
Tlr4	Bcl10
Malt1	Traf6
Map3k7	Malt1
Bcl10	Malt1
Map3k7	Bcl10
Map3k7	Irak1
Traf6	Irak1
Map3k7	Peli2
Amfr	Vcp
Amfr	Ngly1
Ngly1	Vcp
Itch	Junb
Kif3a	Ppp1r15a
Dot1l	Mllt1
Dot1l	Ccnt1
Sin3a	Smad4
Hdac1	Smad4
Smad3	Smad4
Nfya	Creb1
Gata1	Creb1
Hdac2	Yy1
Hdac1	Yy1
Yy1	Ep300
Tcerg1	Smn1
Smn1	Snrpb
Prmt5	Sf3b4
Prmt5	Snrpc
Prmt5	Tcerg1
Prmt5	Snrpb
Prmt5	Pabpc1
Prmt5	Hnrnpd
Prmt5	Serbp1
Yy1	Ctcf
Bmi1	Dmap1
Notch1	Smarcd3
Rbpj	Smarcd3
Rbpj	Notch1
Nkx2-1	Smarca4
Prmt1	Rbmxl1
Prmt1	Ybx3
Prmt1	Chtop
Prmt1	Hnrnpu
Prmt1	Serbp1
Prmt1	Nop56
Prmt1	Lsm14a
Prmt5	Chtop
Tal1	Trim27
Trim27	Tcf3
Trim27	Ascl1
Trim27	Myod1
Rest	Sp3
Nupr1	Ep300
Nupr1	Ddx5
Myod1	Nupr1
Crebzf	Esrra
Ppargc1a	Esrra
Cbx3	Bahd1
Bahd1	Hdac5
Bahd1	Mbd1
Bahd1	Sp1
Zfpm1	Gata1
Zfpm1	Ctbp1
Zfpm1	Ctbp2
Zfpm1	Kdm1a
Zfpm1	Mta1
Zfpm1	Mta2
Zfpm1	Rbbp7
Zfpm1	Rbbp8
Zfpm1	Hdac2
Zfpm1	Hdac1
Hnf4a	Nr0b1
Mre11a	Prkdc
Add1	Smarca4
Add1	Smarcc1
Add1	Sin3a
Ppia	Hdac1
Ppia	Mbd2
Jun	Esr1
Smad3	Snai1
Smad4	Snai1
Pparg	Men1
Smad3	Hif1a
Lrpprc	Foxo1
Ctcfl	Prmt7
Prmt5	Smarca4
Prmt5	Myod1
Parp1	Cenpb
Aebp1	Nfe2
Aebp1	Gmeb2
Ahr	Aip
Alx3	Jdp2
Alx4	Cdx1
Alx4	Cdx2
Alx4	Cdx4
Alx4	Dlx1
Alx4	Dlx2
Alx4	Dlx5
Alx4	Foxh1
Alx4	Foxa1
Alx4	Hoxa10
Alx4	Hoxa11
Alx4	Hoxb13
Alx4	Hoxc4
